"&",28
"'",6
"+",1
-,2869
0,1
1,29
2,22
3,25
4,19
5,30
6,16
7,20
8,22
9,18
=,1
a,24583
b,12
c,9
d,13
e,3
f,2
g,2
h,2
i,26453
j,10
l,2
n,8
o,29
p,1
q,1
r,4
s,6
t,7
u,2
v,1
w,10
x,5
y,1
z,2
"#1",2
"$1",3
"$2",2
"$5",4
"$7",1
"$8",1
"'3",3
"'a",16
"'i",90
"'n",6
"'o",1
"'s",1
"'x",1
-a,1
"1%",2
"1'",2
10,134
11,32
12,47
13,36
14,32
15,59
16,49
17,19
18,30
19,12
1a,1
1b,1
"2'",8
20,79
21,8
22,11
23,10
24,12
25,36
26,6
27,5
28,4
29,5
"3%",1
"3'",5
3-,1
30,52
31,3
32,2
33,1
34,6
35,16
36,1
37,1
38,2
39,1
3d,11
40,32
41,2
42,1
43,2
44,4
45,8
46,1
47,4
48,3
49,3
"5'",1
5-,1
50,51
51,11
52,1
53,5
54,3
55,7
56,5
58,2
59,1
"6%",1
60,16
62,2
63,4
64,2
65,3
66,3
68,1
69,1
70,9
72,3
73,1
74,1
75,6
76,1
77,2
78,1
79,1
"8'",2
80,4
83,1
85,2
88,1
"9%",3
90,15
92,3
95,4
96,3
98,3
99,2
ac,1
ad,14
ah,12
ai,1
al,11
am,1240
an,3326
ap,3
as,5075
at,3132
au,2
ax,2
bb,1
be,7050
bg,1
bo,1
bs,2
bu,2
by,2472
c4,1
ca,1
cd,7
cg,2
cj,1
cv,1
da,4
dc,13
de,25
dj,16
do,3960
dr,15
du,4
eb,1
ed,5
ee,1
eg,1
el,4
em,1
en,1
er,5
et,2
eu,20
ex,1
fc,1
fm,1
ft,3
g8,1
ga,1
ge,10
gi,1
gm,1
go,1492
ha,4
he,1880
hw,1
"i'",3
ia,1
id,9
ie,3
if,3922
ii,22
in,14827
ip,1
iq,4
is,16682
it,11073
iv,1
je,1
jj,4
jk,1
jo,1
jr,13
ka,1
ky,1
la,58
lc,1
le,4
li,1
ma,2
mc,2
md,1
me,3900
mm,1
mo,1
mp,2
mr,40
ms,13
my,7041
"n'",21
no,2436
ny,3
of,22001
oh,40
oj,2
ok,24
om,1
on,4750
op,1
or,3544
pa,1
pc,3
pe,2
pj,3
pm,4
pr,1
qb,2
qi,1
r2,1
r8,1
ra,1
rv,1
se,5
sf,4
so,3195
st,22
to,28566
tv,194
u2,2
uh,1
ui,1
uk,27
um,4
un,21
up,2103
us,1431
uw,1
"v'",1
vi,1
vs,3
we,5567
xi,1
ya,6
ye,8
yo,2
£1,1
"$10",5
"$11",1
"$15",1
"$20",1
"$24",1
"$30",2
"$32",1
"$35",1
"$40",1
"$50",2
"$78",1
"'06",1
"'09",1
"'12",1
"'30",1
"'38",1
"'39",1
"'42",2
"'43",1
"'44",1
"'45",1
"'48",4
"'51",1
"'61",1
"'77",1
"'78",1
"'84",2
"'86",2
"'87",2
"'89",2
"'91",2
"'92",1
"'94",2
"'95",1
"'96",1
"'97",1
"'98",4
"'a'",1
"'ah",1
"'an",2
"'as",1
"'aw",1
"'be",1
"'by",1
"'c'",1
"'do",12
"'dr",1
"'e'",1
"'el",2
"'em",33
"'et",1
"'go",2
"'he",1
"'hi",4
"'i'",2
"'if",11
"'ih",1
"'in",4
"'is",6
"'it",9
"'la",7
"'lo",1
"'mr",1
"'my",13
"'n'",8
"'no",26
"'of",1
"'oh",62
"'ok",1
"'on",6
"'so",3
"'st",1
"'to",7
"'tv",1
"'us",1
"'we",12
